train,time_arrival,time_departure,direction,weight(tons),headway(mins),delay(mins)
0065,2018-01-01 15:17:00,2018-01-01 15:17:00,B,5667,9,0
0066,2018-01-01 15:28:00,2018-01-01 15:28:00,B,5591,10,0
0067,2018-01-01 15:40:00,2018-01-01 15:40:00,B,1676,13,0
0068,2018-01-01 15:48:00,2018-01-01 15:48:00,B,4239,19,0
0069,2018-01-01 16:07:00,2018-01-01 16:07:00,B,4389,16,0
0070,2018-01-01 16:23:00,2018-01-01 16:23:00,A,6075,18,0
0071,2018-01-01 16:41:00,2018-01-01 16:41:00,B,4040,20,0
0072,2018-01-01 17:01:00,2018-01-01 17:01:00,A,6023,17,0
0073,2018-01-01 17:18:00,2018-01-01 17:18:00,A,7167,17,0
0074,2018-01-01 17:35:00,2018-01-01 17:35:00,A,3519,13,0
0075,2018-01-01 17:36:00,2018-01-01 17:36:00,B,8850,15,0
0076,2018-01-01 17:51:00,2018-01-01 17:51:00,B,4866,15,0
0077,2018-01-01 17:52:00,2018-01-01 17:52:00,B,6647,15,0
0078,2018-01-01 17:53:00,2018-01-01 17:53:00,A,3729,15,0
0079,2018-01-01 18:08:00,2018-01-01 18:08:00,B,5865,16,0
0080,2018-01-01 18:24:00,2018-01-01 18:24:00,A,4901,20,0
0081,2018-01-01 18:44:00,2018-01-01 18:44:00,A,8915,15,0
0082,2018-01-01 18:59:00,2018-01-01 18:59:00,A,2234,12,0
0083,2018-01-01 19:03:00,2018-01-01 19:03:00,B,5638,17,0
0084,2018-01-01 19:20:00,2018-01-01 19:20:00,A,6735,12,0
0085,2018-01-01 19:32:00,2018-01-01 19:32:00,A,4419,20,0
0086,2018-01-01 19:52:00,2018-01-01 19:52:00,B,6600,19,0
0087,2018-01-01 20:11:00,2018-01-01 20:11:00,A,4689,15,0
0088,2018-01-01 20:26:00,2018-01-01 20:26:00,A,4504,21,0
0089,2018-01-01 20:47:00,2018-01-01 20:47:00,B,2351,12,0
0090,2018-01-01 20:59:00,2018-01-01 20:59:00,A,4188,15,0
0091,2018-01-01 21:28:00,2018-01-01 21:28:00,B,4594,13,0
0092,2018-01-01 21:41:00,2018-01-01 21:41:00,A,4884,12,0
0093,2018-01-01 22:12:00,2018-01-01 22:12:00,A,5696,13,0
0094,2018-01-01 22:18:00,2018-01-01 22:18:00,B,6090,18,0
0095,2018-01-01 22:36:00,2018-01-01 22:36:00,B,4502,13,0
0096,2018-01-01 22:49:00,2018-01-01 22:49:00,A,4886,8,0
0097,2018-01-01 23:24:00,2018-01-01 23:24:00,A,8168,19,0
0098,2018-01-01 23:28:00,2018-01-01 23:28:00,A,5931,16,0
0099,2018-01-01 23:44:00,2018-01-01 23:44:00,A,7514,16,0
0100,2018-01-02 00:00:00,2018-01-02 05:00:00,A,6594,15,300
0101,2018-01-02 00:15:00,2018-01-02 05:03:00,A,4454,15,288
0102,2018-01-02 00:16:00,2018-01-02 05:06:00,A,5310,13,290
0103,2018-01-02 00:29:00,2018-01-02 05:09:00,A,3763,11,280
0104,2018-01-02 01:01:00,2018-01-02 05:12:00,A,4686,13,251
0105,2018-01-02 01:33:00,2018-01-02 05:15:00,A,3765,17,222
0106,2018-01-02 01:34:00,2018-01-02 05:18:00,A,6639,19,224
0107,2018-01-02 01:53:00,2018-01-02 05:21:00,A,5937,10,208
0108,2018-01-02 02:03:00,2018-01-02 05:49:00,B,4057,13,226
0109,2018-01-02 02:36:00,2018-01-02 05:52:00,B,6112,12,196
0110,2018-01-02 02:42:00,2018-01-02 06:20:00,A,7049,17,218
0111,2018-01-02 02:44:00,2018-01-02 06:23:00,A,4338,13,219
0112,2018-01-02 02:45:00,2018-01-02 06:51:00,B,3575,13,246
0113,2018-01-02 02:50:00,2018-01-02 07:19:00,A,6459,17,269
0114,2018-01-02 03:07:00,2018-01-02 07:47:00,B,4214,17,280
0115,2018-01-02 03:24:00,2018-01-02 07:50:00,B,5980,16,266
0116,2018-01-02 03:40:00,2018-01-02 08:18:00,A,4600,14,278
0117,2018-01-02 03:54:00,2018-01-02 08:46:00,B,5403,17,292
0118,2018-01-02 04:11:00,2018-01-02 09:14:00,A,2659,17,303
0119,2018-01-02 04:28:00,2018-01-02 09:17:00,A,5058,15,289
0120,2018-01-02 04:43:00,2018-01-02 09:20:00,A,5760,20,277
0121,2018-01-02 05:03:00,2018-01-02 09:48:00,B,5722,17,285
0122,2018-01-02 05:20:00,2018-01-02 10:16:00,A,8282,10,296
0123,2018-01-02 05:24:00,2018-01-02 10:19:00,A,5191,18,295
0124,2018-01-02 05:42:00,2018-01-02 10:47:00,B,4781,14,305
0125,2018-01-02 05:56:00,2018-01-02 10:50:00,B,4320,15,294
0126,2018-01-02 05:58:00,2018-01-02 10:53:00,B,4249,17,295
0127,2018-01-02 06:15:00,2018-01-02 10:56:00,B,3602,14,281
0128,2018-01-02 06:29:00,2018-01-02 11:24:00,A,6068,16,295
0129,2018-01-02 06:30:00,2018-01-02 11:52:00,B,3811,15,322
0130,2018-01-02 06:45:00,2018-01-02 12:20:00,A,4817,18,335
0131,2018-01-02 07:03:00,2018-01-02 12:23:00,A,6351,18,320
0132,2018-01-02 07:21:00,2018-01-02 12:51:00,B,2046,20,330
0133,2018-01-02 07:41:00,2018-01-02 13:19:00,A,4529,16,338
0134,2018-01-02 07:57:00,2018-01-02 13:22:00,A,521,14,325
0135,2018-01-02 08:11:00,2018-01-02 13:25:00,A,4452,16,314
0136,2018-01-02 08:12:00,2018-01-02 13:28:00,A,4780,14,316
0137,2018-01-02 08:13:00,2018-01-02 13:56:00,B,4666,18,343
0138,2018-01-02 08:31:00,2018-01-02 14:24:00,A,4407,11,353
0139,2018-01-02 08:33:00,2018-01-02 14:27:00,A,5321,15,354
0140,2018-01-02 09:03:00,2018-01-02 14:30:00,A,3045,14,327
0141,2018-01-02 09:17:00,2018-01-02 14:33:00,A,5158,14,316
0142,2018-01-02 09:31:00,2018-01-02 14:36:00,A,5995,12,305
0143,2018-01-02 10:01:00,2018-01-02 14:39:00,A,5819,12,278
0144,2018-01-02 10:08:00,2018-01-02 15:07:00,B,6842,14,299
0145,2018-01-02 10:13:00,2018-01-02 15:35:00,A,6923,17,322
0146,2018-01-02 10:30:00,2018-01-02 16:03:00,B,5196,15,333
0147,2018-01-02 10:45:00,2018-01-02 16:06:00,B,7751,21,321
0148,2018-01-02 11:06:00,2018-01-02 16:09:00,B,2869,14,303
0149,2018-01-02 11:20:00,2018-01-02 16:12:00,B,7189,15,292
0150,2018-01-02 11:22:00,2018-01-02 16:15:00,B,4833,14,293
0151,2018-01-02 11:36:00,2018-01-02 16:43:00,A,4315,15,307
0152,2018-01-02 11:38:00,2018-01-02 16:46:00,A,4733,18,308
0153,2018-01-02 11:56:00,2018-01-02 17:14:00,B,5670,23,318
0154,2018-01-02 12:19:00,2018-01-02 17:42:00,A,4774,14,323
0155,2018-01-02 12:33:00,2018-01-02 18:10:00,B,8033,10,337
0156,2018-01-02 12:40:00,2018-01-02 18:13:00,B,5045,6,333
0157,2018-01-02 12:55:00,2018-01-02 18:41:00,A,3394,11,346
0158,2018-01-02 13:34:00,2018-01-02 19:09:00,B,5784,7,335
0159,2018-01-02 14:12:00,2018-01-02 19:12:00,B,4820,13,300
0160,2018-01-02 14:48:00,2018-01-02 19:40:00,A,6164,10,292
0161,2018-01-02 15:21:00,2018-01-02 19:43:00,A,7314,17,262
0162,2018-01-02 15:25:00,2018-01-02 19:46:00,A,3725,17,261
0163,2018-01-02 15:42:00,2018-01-02 20:14:00,B,6551,11,272
0164,2018-01-02 15:45:00,2018-01-02 20:17:00,B,4184,14,272
0165,2018-01-02 16:16:00,2018-01-02 20:20:00,B,7856,7,244
0166,2018-01-02 16:26:00,2018-01-02 20:23:00,B,6336,13,237
0167,2018-01-02 16:37:00,2018-01-02 20:26:00,B,4063,13,229
0168,2018-01-02 16:42:00,2018-01-02 20:29:00,B,6124,12,227
0169,2018-01-02 16:48:00,2018-01-02 20:57:00,A,4534,15,249
0170,2018-01-02 17:17:00,2018-01-02 21:25:00,B,4365,18,248
0171,2018-01-02 17:35:00,2018-01-02 21:53:00,A,5379,13,258
0172,2018-01-02 17:48:00,2018-01-02 21:56:00,A,2433,13,248
0173,2018-01-02 18:18:00,2018-01-02 21:59:00,A,4422,13,221
0174,2018-01-02 18:23:00,2018-01-02 22:27:00,B,4773,15,244
0175,2018-01-02 18:26:00,2018-01-02 22:30:00,B,2416,17,244
0176,2018-01-02 18:43:00,2018-01-02 22:33:00,B,5560,13,230
0177,2018-01-02 18:56:00,2018-01-02 23:01:00,A,4064,16,245
0178,2018-01-02 19:12:00,2018-01-02 23:29:00,B,6361,20,257
0179,2018-01-02 19:32:00,2018-01-02 23:57:00,A,4714,21,265
0180,2018-01-02 19:53:00,2018-01-03 00:00:00,A,7936,20,247
0181,2018-01-02 20:13:00,2018-01-03 00:03:00,A,6024,18,230
0182,2018-01-02 20:31:00,2018-01-03 00:31:00,B,3948,15,240
0183,2018-01-02 20:46:00,2018-01-03 00:59:00,A,6624,11,253
0184,2018-01-02 20:51:00,2018-01-03 01:02:00,A,4992,14,251
0185,2018-01-02 21:22:00,2018-01-03 01:30:00,B,4899,15,248
0186,2018-01-02 21:37:00,2018-01-03 01:58:00,A,7048,15,261
0187,2018-01-02 21:38:00,2018-01-03 02:01:00,A,7412,15,263
0188,2018-01-02 21:53:00,2018-01-03 02:29:00,B,5790,21,276
0189,2018-01-02 22:14:00,2018-01-03 02:57:00,A,5331,12,283
0190,2018-01-02 22:26:00,2018-01-03 03:25:00,B,4205,14,299
0191,2018-01-02 22:56:00,2018-01-03 03:53:00,A,5279,18,297
0192,2018-01-02 23:14:00,2018-01-03 03:56:00,A,1015,15,282
0193,2018-01-02 23:29:00,2018-01-03 04:24:00,B,4995,13,295
0194,2018-01-02 23:42:00,2018-01-03 04:27:00,B,6176,16,285
0195,2018-01-02 23:58:00,2018-01-03 04:55:00,A,4710,10,297
0196,2018-01-03 00:03:00,2018-01-03 04:58:00,A,6472,15,295
0197,2018-01-03 00:09:00,2018-01-03 05:01:00,A,4796,17,292
0198,2018-01-03 00:26:00,2018-01-03 05:04:00,A,5049,16,278
0199,2018-01-03 00:42:00,2018-01-03 05:07:00,A,2520,18,265
0200,2018-01-03 01:00:00,2018-01-03 05:10:00,A,2781,15,250
0201,2018-01-03 01:15:00,2018-01-03 05:38:00,B,8128,16,263
0202,2018-01-03 01:31:00,2018-01-03 06:06:00,A,6105,21,275
0203,2018-01-03 01:52:00,2018-01-03 06:34:00,B,7576,15,282
0204,2018-01-03 02:07:00,2018-01-03 06:37:00,B,6072,14,270
0205,2018-01-03 02:09:00,2018-01-03 06:40:00,B,6842,16,271
0206,2018-01-03 02:25:00,2018-01-03 07:08:00,A,3662,10,283
0207,2018-01-03 02:30:00,2018-01-03 07:36:00,B,3601,10,306
0208,2018-01-03 03:06:00,2018-01-03 07:39:00,B,7903,13,273
0209,2018-01-03 03:14:00,2018-01-03 07:42:00,B,7351,21,268
0210,2018-01-03 03:35:00,2018-01-03 07:45:00,B,7192,15,250
0211,2018-01-03 03:50:00,2018-01-03 07:48:00,B,4952,15,238
0212,2018-01-03 03:51:00,2018-01-03 08:16:00,A,3252,16,265
0213,2018-01-03 04:07:00,2018-01-03 08:19:00,A,6061,12,252
0214,2018-01-03 04:19:00,2018-01-03 08:47:00,B,4211,11,268
0215,2018-01-03 04:27:00,2018-01-03 09:15:00,A,6115,14,288
0216,2018-01-03 04:58:00,2018-01-03 09:18:00,A,4457,18,260
0217,2018-01-03 05:16:00,2018-01-03 09:46:00,B,4507,16,270
0218,2018-01-03 05:32:00,2018-01-03 10:14:00,A,3932,15,282
0219,2018-01-03 05:47:00,2018-01-03 10:42:00,B,6475,8,295
0220,2018-01-03 05:55:00,2018-01-03 10:45:00,B,5102,12,290
0221,2018-01-03 06:31:00,2018-01-03 10:48:00,B,6584,15,257
0222,2018-01-03 07:00:00,2018-01-03 11:16:00,A,4613,15,256
0223,2018-01-03 07:01:00,2018-01-03 11:19:00,A,5569,25,258
0224,2018-01-03 07:26:00,2018-01-03 11:22:00,A,5633,12,236
0225,2018-01-03 07:38:00,2018-01-03 11:50:00,B,4873,18,252
0226,2018-01-03 07:56:00,2018-01-03 11:53:00,B,7929,16,237
0227,2018-01-03 08:12:00,2018-01-03 11:56:00,B,8320,13,224
0228,2018-01-03 08:14:00,2018-01-03 12:24:00,A,3952,15,250
0229,2018-01-03 08:17:00,2018-01-03 12:27:00,A,5063,19,250
0230,2018-01-03 08:36:00,2018-01-03 12:55:00,B,3772,15,259
0231,2018-01-03 08:51:00,2018-01-03 13:23:00,A,4460,16,272
0232,2018-01-03 09:07:00,2018-01-03 13:51:00,B,5589,14,284
0233,2018-01-03 09:08:00,2018-01-03 14:19:00,A,6262,13,311
0234,2018-01-03 09:12:00,2018-01-03 14:22:00,A,4649,20,310
0235,2018-01-03 09:32:00,2018-01-03 14:25:00,A,3149,11,293
0236,2018-01-03 09:43:00,2018-01-03 14:53:00,B,4117,13,310
0237,2018-01-03 10:15:00,2018-01-03 14:56:00,B,5359,19,281
0238,2018-01-03 10:34:00,2018-01-03 15:24:00,A,7110,17,290
0239,2018-01-03 10:51:00,2018-01-03 15:52:00,B,3401,10,301
0240,2018-01-03 10:55:00,2018-01-03 16:20:00,A,5675,16,325
0241,2018-01-03 11:25:00,2018-01-03 16:48:00,B,3720,21,323
0242,2018-01-03 11:46:00,2018-01-03 16:51:00,B,3871,5,305
0243,2018-01-03 11:51:00,2018-01-03 16:54:00,B,4394,19,303
0244,2018-01-03 12:23:00,2018-01-03 16:57:00,B,5000,16,274
0245,2018-01-03 12:39:00,2018-01-03 17:25:00,A,7987,16,286
0246,2018-01-03 12:55:00,2018-01-03 17:28:00,A,1783,10,273
0247,2018-01-03 13:00:00,2018-01-03 17:31:00,A,8444,19,271
0248,2018-01-03 13:19:00,2018-01-03 17:34:00,A,5525,17,255
0249,2018-01-03 13:36:00,2018-01-03 18:02:00,B,6582,14,266
0250,2018-01-03 13:50:00,2018-01-03 18:05:00,B,5924,12,255
0251,2018-01-03 14:20:00,2018-01-03 18:08:00,B,8464,13,228
0252,2018-01-03 14:51:00,2018-01-03 18:11:00,B,6400,13,200
0253,2018-01-03 14:56:00,2018-01-03 18:39:00,A,6041,17,223
0254,2018-01-03 14:57:00,2018-01-03 18:42:00,A,8431,16,225
0255,2018-01-03 15:13:00,2018-01-03 18:45:00,A,6306,16,212
0256,2018-01-03 15:29:00,2018-01-03 19:13:00,B,4156,12,224
0257,2018-01-03 15:41:00,2018-01-03 19:41:00,A,4958,18,240
0258,2018-01-03 15:59:00,2018-01-03 20:09:00,B,4071,16,250
0259,2018-01-03 16:15:00,2018-01-03 20:37:00,A,1789,18,262
0260,2018-01-03 16:33:00,2018-01-03 20:40:00,A,3628,11,247
0261,2018-01-03 16:35:00,2018-01-03 20:43:00,A,5741,15,248
0262,2018-01-03 17:05:00,2018-01-03 20:46:00,A,5406,10,221
0263,2018-01-03 17:11:00,2018-01-03 21:14:00,B,6531,12,243
0264,2018-01-03 17:45:00,2018-01-03 21:17:00,B,5269,15,212
0265,2018-01-03 18:14:00,2018-01-03 21:20:00,B,4441,13,186
0266,2018-01-03 18:17:00,2018-01-03 21:23:00,B,6877,18,186
0267,2018-01-03 18:35:00,2018-01-03 21:26:00,B,3998,10,171
0268,2018-01-03 18:38:00,2018-01-03 21:54:00,A,7107,13,196
0269,2018-01-03 19:11:00,2018-01-03 21:57:00,A,5028,16,166
0270,2018-01-03 19:27:00,2018-01-03 22:25:00,B,4677,11,178
0271,2018-01-03 19:56:00,2018-01-03 22:53:00,A,5214,20,177
0272,2018-01-03 20:16:00,2018-01-03 22:56:00,A,4537,17,160
0273,2018-01-03 20:33:00,2018-01-03 22:59:00,A,5831,17,146
0274,2018-01-03 20:50:00,2018-01-03 23:27:00,B,4772,14,157
0275,2018-01-03 21:04:00,2018-01-03 23:55:00,A,4643,17,171
0276,2018-01-03 21:21:00,2018-01-04 00:23:00,B,4822,16,182
0277,2018-01-03 21:37:00,2018-01-04 00:51:00,A,5082,15,194
0278,2018-01-03 21:52:00,2018-01-04 00:54:00,A,5510,12,182
0279,2018-01-03 22:21:00,2018-01-04 01:22:00,B,5961,21,181
0280,2018-01-03 22:42:00,2018-01-04 01:50:00,A,3077,13,188
0281,2018-01-03 22:55:00,2018-01-04 02:18:00,B,6003,12,203
0282,2018-01-03 23:01:00,2018-01-04 02:21:00,B,5422,15,200
0283,2018-01-03 23:05:00,2018-01-04 02:49:00,A,3779,13,224
0284,2018-01-03 23:08:00,2018-01-04 03:17:00,B,4454,20,249
0285,2018-01-03 23:28:00,2018-01-04 03:20:00,B,4466,21,232
0286,2018-01-03 23:49:00,2018-01-04 03:48:00,A,4715,13,239
0287,2018-01-04 00:02:00,2018-01-04 03:51:00,A,3418,21,229
0288,2018-01-04 00:23:00,2018-01-04 04:19:00,B,6033,16,236
0289,2018-01-04 00:39:00,2018-01-04 04:47:00,A,5180,8,248
0290,2018-01-04 00:46:00,2018-01-04 05:15:00,B,4588,16,269
0291,2018-01-04 01:18:00,2018-01-04 05:43:00,A,4209,11,265
0292,2018-01-04 01:22:00,2018-01-04 06:11:00,B,8318,14,289
0293,2018-01-04 01:28:00,2018-01-04 06:39:00,A,6376,15,311
0294,2018-01-04 01:43:00,2018-01-04 06:42:00,A,6063,9,299
0295,2018-01-04 02:15:00,2018-01-04 06:45:00,A,4658,21,270
0296,2018-01-04 02:36:00,2018-01-04 06:48:00,A,4466,12,252
0297,2018-01-04 02:48:00,2018-01-04 07:16:00,B,3991,13,268
0298,2018-01-04 02:54:00,2018-01-04 07:19:00,B,7591,12,265
0299,2018-01-04 03:25:00,2018-01-04 07:47:00,A,6736,13,262
0300,2018-01-04 03:56:00,2018-01-04 08:15:00,B,7635,16,259
0301,2018-01-04 03:58:00,2018-01-04 08:43:00,A,3069,16,285
0302,2018-01-04 04:14:00,2018-01-04 09:11:00,B,3365,11,297
0303,2018-01-04 04:43:00,2018-01-04 09:14:00,B,5051,13,271
0304,2018-01-04 05:15:00,2018-01-04 09:42:00,A,5014,18,267
0305,2018-01-04 05:33:00,2018-01-04 09:45:00,A,4176,14,252
0306,2018-01-04 05:47:00,2018-01-04 10:13:00,B,3817,16,266
0307,2018-01-04 05:48:00,2018-01-04 10:16:00,B,6594,15,268
0308,2018-01-04 06:03:00,2018-01-04 10:19:00,B,4056,14,256
0309,2018-01-04 06:05:00,2018-01-04 10:22:00,B,1715,17,257
0310,2018-01-04 06:22:00,2018-01-04 10:25:00,B,5689,11,243
0311,2018-01-04 06:25:00,2018-01-04 10:53:00,A,5238,15,268
0312,2018-01-04 06:55:00,2018-01-04 11:21:00,B,6301,15,266
0313,2018-01-04 07:10:00,2018-01-04 11:24:00,B,5042,15,254
0314,2018-01-04 07:11:00,2018-01-04 11:52:00,A,6182,13,281
0315,2018-01-04 07:24:00,2018-01-04 11:55:00,A,4438,14,271
0316,2018-01-04 07:53:00,2018-01-04 12:23:00,B,4372,16,270
0317,2018-01-04 08:09:00,2018-01-04 12:51:00,A,5356,10,282
0318,2018-01-04 08:39:00,2018-01-04 12:54:00,A,3494,14,255
0319,2018-01-04 08:46:00,2018-01-04 13:22:00,B,4987,13,276
0320,2018-01-04 09:15:00,2018-01-04 13:50:00,A,4347,18,275
0321,2018-01-04 09:33:00,2018-01-04 13:53:00,A,3665,14,260
0322,2018-01-04 09:47:00,2018-01-04 13:56:00,A,3979,16,249
0323,2018-01-04 09:48:00,2018-01-04 14:24:00,B,3234,19,276
0324,2018-01-04 10:07:00,2018-01-04 14:52:00,A,3484,16,285
0325,2018-01-04 10:23:00,2018-01-04 14:55:00,A,6225,18,272
0326,2018-01-04 10:41:00,2018-01-04 14:58:00,A,5037,19,257
0327,2018-01-04 11:00:00,2018-01-04 15:01:00,A,6186,12,241
0328,2018-01-04 11:12:00,2018-01-04 15:04:00,A,5565,11,232
0329,2018-01-04 11:20:00,2018-01-04 15:07:00,A,3841,12,227
0330,2018-01-04 11:53:00,2018-01-04 15:10:00,A,5323,12,197
0331,2018-01-04 12:25:00,2018-01-04 15:13:00,A,3845,13,168
0332,2018-01-04 12:31:00,2018-01-04 15:16:00,A,4268,15,165
0333,2018-01-04 12:34:00,2018-01-04 15:44:00,B,6482,15,190
0334,2018-01-04 12:35:00,2018-01-04 16:12:00,A,4844,14,217
0335,2018-01-04 12:49:00,2018-01-04 16:40:00,B,5400,20,231
0336,2018-01-04 13:09:00,2018-01-04 17:08:00,A,6404,7,239
0337,2018-01-04 13:13:00,2018-01-04 17:36:00,B,7550,11,263
0338,2018-01-04 13:26:00,2018-01-04 17:39:00,B,4428,14,253
0339,2018-01-04 13:32:00,2018-01-04 18:07:00,A,2192,9,275
0340,2018-01-04 13:40:00,2018-01-04 18:35:00,B,3529,16,295
0341,2018-01-04 13:46:00,2018-01-04 18:38:00,B,4819,9,292
0342,2018-01-04 14:17:00,2018-01-04 19:06:00,A,4817,12,289
0343,2018-01-04 14:52:00,2018-01-04 19:09:00,A,5678,9,257
0344,2018-01-04 15:02:00,2018-01-04 19:37:00,B,6854,16,275
0345,2018-01-04 15:08:00,2018-01-04 19:40:00,B,2884,11,272
0346,2018-01-04 15:12:00,2018-01-04 20:08:00,A,5442,18,296
0347,2018-01-04 15:30:00,2018-01-04 20:36:00,B,2773,11,306
0348,2018-01-04 15:41:00,2018-01-04 21:04:00,A,3064,22,323
0349,2018-01-04 16:03:00,2018-01-04 21:32:00,B,3625,11,329
0350,2018-01-04 16:14:00,2018-01-04 22:00:00,A,8285,17,346
0351,2018-01-04 16:17:00,2018-01-04 22:03:00,A,4096,15,346
0352,2018-01-04 16:32:00,2018-01-04 22:06:00,A,4142,11,334
0353,2018-01-04 16:37:00,2018-01-04 22:09:00,A,2470,15,332
0354,2018-01-04 17:07:00,2018-01-04 22:12:00,A,5046,13,305
0355,2018-01-04 17:10:00,2018-01-04 22:40:00,B,3678,16,330
0356,2018-01-04 17:26:00,2018-01-04 23:08:00,A,2308,15,342
0357,2018-01-04 17:41:00,2018-01-04 23:36:00,B,3449,13,355
0358,2018-01-04 17:54:00,2018-01-05 00:04:00,A,4765,12,370
0359,2018-01-04 18:25:00,2018-01-05 00:07:00,A,4407,13,342
0360,2018-01-04 18:31:00,2018-01-05 00:35:00,B,5020,12,364
0361,2018-01-04 19:02:00,2018-01-05 00:38:00,B,7877,20,336
0362,2018-01-04 19:22:00,2018-01-05 01:06:00,A,3546,15,344
0363,2018-01-04 19:37:00,2018-01-05 01:34:00,B,4367,17,357
0364,2018-01-04 19:54:00,2018-01-05 01:37:00,B,7165,17,343
0365,2018-01-04 20:11:00,2018-01-05 02:05:00,A,7942,12,354
0366,2018-01-04 20:13:00,2018-01-05 02:08:00,A,5841,16,355
